,date,tobs
214,2017-04-02,75.0
215,2017-05-02,75.0
216,2017-05-04,75.0
217,2017-05-07,75.0
218,2017-05-12,75.0
219,2017-05-31,75.0
220,2017-06-05,75.0
221,2017-06-06,75.0
222,2017-06-07,75.0
223,2017-06-08,75.0
224,2017-06-15,75.0
225,2017-06-18,75.0
226,2017-07-07,75.0
227,2017-07-24,75.0
228,2017-07-26,75.0
229,2016-09-12,76.0
230,2016-09-20,76.0
231,2016-10-07,76.0
232,2016-10-25,76.0
233,2016-10-27,76.0
234,2016-10-30,76.0
235,2016-10-31,76.0
236,2016-11-14,76.0
237,2016-11-15,76.0
238,2016-11-17,76.0
239,2016-12-19,76.0
240,2016-12-20,76.0
241,2017-03-25,76.0
242,2017-03-27,76.0
243,2017-04-20,76.0
244,2017-04-23,76.0
245,2017-05-13,76.0
246,2017-05-20,76.0
247,2017-06-02,76.0
248,2017-06-03,76.0
249,2017-06-13,76.0
250,2017-06-27,76.0
251,2017-06-29,76.0
252,2017-06-30,76.0
253,2017-07-03,76.0
254,2017-07-14,76.0
255,2017-07-17,76.0
256,2017-07-18,76.0
257,2017-07-19,76.0
258,2017-07-27,76.0
259,2017-07-31,76.0
260,2017-08-16,76.0
261,2017-08-17,76.0
262,2016-08-24,77.0
263,2016-08-30,77.0
264,2016-09-10,77.0
265,2016-09-22,77.0
266,2016-09-26,77.0
267,2016-10-01,77.0
268,2016-10-11,77.0
269,2016-10-15,77.0
270,2016-10-17,77.0
271,2016-10-22,77.0
272,2016-10-29,77.0
273,2016-11-11,77.0
274,2016-11-13,77.0
275,2017-01-14,77.0
276,2017-03-04,77.0
277,2017-03-26,77.0
278,2017-04-08,77.0
279,2017-05-14,77.0
280,2017-06-04,77.0
281,2017-06-24,77.0
282,2017-06-28,77.0
283,2017-07-05,77.0
284,2017-07-20,77.0
285,2017-07-21,77.0
286,2017-07-22,77.0
287,2017-07-25,77.0
288,2017-08-04,77.0
289,2017-08-13,77.0
290,2017-08-14,77.0
291,2017-08-15,77.0
292,2016-08-29,78.0
293,2016-08-31,78.0
294,2016-09-03,78.0
295,2016-09-04,78.0
296,2016-09-05,78.0
297,2016-09-16,78.0
298,2016-09-18,78.0
299,2016-09-19,78.0
300,2016-09-23,78.0
301,2016-09-28,78.0
302,2016-09-29,78.0
303,2016-09-30,78.0
304,2016-10-13,78.0
305,2016-10-18,78.0
306,2016-10-19,78.0
307,2016-10-20,78.0
308,2016-10-21,78.0
309,2017-04-09,78.0
310,2017-04-15,78.0
311,2017-07-04,78.0
312,2017-07-08,78.0
313,2017-07-09,78.0
314,2016-09-09,79.0
315,2016-09-13,79.0
316,2016-09-15,79.0
317,2016-09-17,79.0
318,2016-09-24,79.0
319,2016-09-25,79.0
320,2016-10-02,79.0
321,2016-10-03,79.0
322,2016-10-04,79.0
323,2016-10-05,79.0
324,2016-10-12,79.0
325,2016-10-14,79.0
326,2016-10-16,79.0
327,2017-02-14,79.0
328,2017-05-06,79.0
329,2017-06-17,79.0
330,2017-07-01,79.0
331,2017-08-18,79.0
332,2016-08-25,80.0
333,2016-08-26,80.0
334,2016-09-01,80.0
335,2016-09-02,80.0
336,2016-09-08,80.0
337,2016-09-11,80.0
338,2016-09-27,80.0
339,2017-05-28,80.0
340,2017-06-01,80.0
341,2017-07-15,80.0
342,2017-07-16,80.0
343,2017-03-11,81.0
344,2017-07-02,81.0
345,2017-07-28,81.0
346,2017-07-30,81.0
347,2017-07-23,82.0
348,2017-07-29,82.0
349,2017-08-05,82.0
350,2017-08-06,83.0
